State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Malayalam,10:45,Executive,₹110,156,0
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Malayalam,10:45,Sofa,₹140,26,0
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Malayalam,10:45,Executive,₹110,97,0
Kerala,Vadakara,"BMS|AshokCnc4KDolbyAtmosTrippleBeam3DVadakara",Malayalam,10:45,Platinum3D,₹180,221,3
Kerala,Vadakara,"BMS|AshokCnc4KDolbyAtmosTrippleBeam3DVadakara",Malayalam,10:45,Diamond3D,₹159.8,210,5
Kerala,Adimali,"BMS|EvmMathaCinemaAdimali",Malayalam,10:45,Screen1,₹150,142,5
Kerala,Kochi,"BMS|MathaMadhuryaTheatreACDolby2K3DAluva",Malayalam,10:45,MathaDaliya,₹150,235,235
Kerala,Kochi,"BMS|MathaMadhuryaTheatreACDolby2K3DAluva",Malayalam,10:45,MathaLotus,₹129.78,784,13
Kerala,Kozhinjampara,"BMS|CowmalyaTheatreKozhinjampara",Tamil,10:50,Gold,₹149.8,477,29
Kerala,Puthoor,"BMS|ChellamTheatrePuthoor",Malayalam,11:00,Balcony,₹180,413,143
Kerala,Puthoor,"BMS|ChellamTheatrePuthoor",Malayalam,11:00,Reserved,₹155,630,345
Kerala,Trivandrum,"BMS|NewTheatre4KRgbLaserDolbyAtmosTrivandrum",Malayalam,11:00,RoyalCircle,₹250,100,3
Kerala,Trivandrum,"BMS|NewTheatre4KRgbLaserDolbyAtmosTrivandrum",Malayalam,11:00,FamilyCircle,₹150,349,22
Kerala,Kottarakara,"PTM|MinervaEmpireCinemazChandamukku",Malayalam,11:00,Gold,₹129.83,457,8
Kerala,Mannarkkad,"PTM|ShivasakthiCinemasDolbyAtmos",Malayalam,11:00,Executive,₹110,256,5
Kerala,Ponnani,"PTM|DreambigSakthiTheatrePonnani",Malayalam,11:00,Sofa,₹200,21,0
Kerala,Ponnani,"PTM|DreambigSakthiTheatrePonnani",Malayalam,11:00,Executive,₹120,240,20
Kerala,Kozhinjampara,"BMS|RavirajComplexACKozhinjampara",Tamil,11:00,Recliner,₹250,36,12
Kerala,Kozhinjampara,"BMS|RavirajComplexACKozhinjampara",Tamil,11:00,FirstClass,₹110,228,90
Kerala,Haripad,"BMS|MLalCineplexxAashirvadHaripad",Malayalam,11:00,Recliner,₹340,19,2
Kerala,Haripad,"BMS|MLalCineplexxAashirvadHaripad",Malayalam,11:00,Platinum,₹160,55,16
Kerala,Haripad,"BMS|MLalCineplexxAashirvadHaripad",Malayalam,11:00,Gold,₹129,222,17
Kerala,Haripad,"BMS|MLalCineplexxAashirvadHaripad",Malayalam,11:00,Silver,₹80,28,0
Kerala,Thrissur,"BMS|ShadowCinemasPazhayannur",Tamil,11:00,Platinum,₹200,16,0
Kerala,Thrissur,"BMS|ShadowCinemasPazhayannur",Tamil,11:00,Gold,₹140,192,7
Kerala,Trivandrum,"BMS|HkCinemasPothencode",Malayalam,11:00,Platinum,₹129.8,391,0
Kerala,Kozhikode,"BMS|RegalCinemasKozhikode",Malayalam,11:00,FirstclassSc2,₹240,165,21
Kerala,Punalur,"BMS|RamrajMovies",Tamil,11:00,Recliner,₹300,21,0
Kerala,Punalur,"BMS|RamrajMovies",Tamil,11:00,Silver,₹150,147,1
Kerala,Punalur,"BMS|RamrajMovies",Malayalam,11:00,Recliner3D,₹330,8,0
Kerala,Punalur,"BMS|RamrajMovies",Malayalam,11:00,Sofa3D,₹230,46,2
Kerala,Punalur,"BMS|RamrajMovies",Malayalam,11:00,Gold3D,₹160,255,2
Kerala,Kannur,"BMS|LibertyCinemaKannurAmbiliTheatre",Malayalam,11:00,Recliner,₹300,21,14
Kerala,Kannur,"BMS|LibertyCinemaKannurAmbiliTheatre",Malayalam,11:00,Diamond,₹129.8,227,125
Kerala,Melattur,"PTM|ChembakasseryRimiCinemas",Malayalam,11:00,Standard,₹100,331,0
Kerala,Mannarkkad,"PTM|OkazChembakassery2KAuro111",Malayalam,11:00,Balcony,₹129.8,170,0
Kerala,Mannarkkad,"PTM|OkazChembakassery2KAuro111",Malayalam,11:00,FirstClass,₹110,428,9
Kerala,Trivandrum,"BMS|SpCinemas2KAuro111Peyad",Malayalam,11:00,GoldA,₹230,30,0
